trade_id,isin,trade_date,settlement_date,asset_class,notional_eur,price,quantity,bid,ask,mid_price,volume_j,volatility_30d,credit_rating,default_flag,sector,country_risk,volatility_30d_outlier_flag,volume_j_outlier_flag,settlement_date_was_missing,credit_rating_was_missing,bid_was_missing,ask_was_missing,volatility_30d_was_missing,country_risk_was_missing,asset_class_was_missing,counterparty_name_hash,trader_id_hash,counterparty_id_hash
TRD005039,FR0000000038,2024-04-11,2024-04-15,derivative,318562.87,44.1651,7213,44.1087,44.2355,44.1721,1801460,23.82,aa,0,healthcare,17.5,0,0,0,0,0,0,0,0,0,f546dc9858b23194d1d7ced5ff7cd0fcf846b804981ca0f0d5c754890d5bf2e9,e45f0c8575eb36a66c5b1b73f67205969b928b7f0eb3240aef25ff90ee6b7c04,7e3d1dc029e2984c81053d0b089efcfeff87c6c823f851e8983e2bd001de4305
TRD004388,FR0000000030,2024-05-20,2024-05-22,equity,225019.36,18.7939,11973,18.77,18.814,18.792,2237246,26.9,bb,0,healthcare,9.8,0,0,0,0,0,0,0,0,0,73febc43038874270d4339cb24a32eb5d65df135939770db904b6ecf4a5a5ef4,45a247caf6b192048a6434d2318c250d6f6f665aca69d9f70c33ec5f5317627c,c89068fd46dad2624ededc82bdb70acbc3a596fd82049049bf7858e2de548b56
TRD004730,FR0000000122,2024-06-17,2024-06-19,fx,27226.82,0.9385,29011,0.937346,0.9409,0.939123,3298536,70.21,nr,0,financials,58.0,0,0,0,1,0,0,0,0,0,ec6126b1d9bc176546be78e3d637254d7eac39657deae1d045e4f81db7510ede,38daa8d89fe1d9f21079970e6ae7dac825d1fa942ff926a8a71875dfc3adf1ce,d69a979a1834268a96bfbc591ba6800183dd2cd5201cc8c91d626ebf17cb9872
TRD003515,FR0000000127,2024-04-26,2024-04-29,derivative,634016.32,28.3943,22329,28.3615,28.4635,28.4125,4313855,45.41,bbb,0,utilities,37.8,0,0,0,0,0,0,0,0,0,264095ed8f0a1cbb6d265d50fd6373de9782ad7d269865e23c8292e32aaf8408,3ef31f0a77b333bbf0ff9d2fc40d8c698a6f934b6336f9c67147093f5ad11377,cf88a03220dd2984ac16203ccf5c5c4aad677fb755644736113891e8b11ab2cf
TRD006031,FR0000000119,2024-06-24,2024-06-26,equity,24566220.1,602.6302,40765,602.53,603.0291,602.77955,2829316,32.85,bbb,0,financials,74.0,0,0,0,0,0,0,0,0,0,cbb1e8f16bb21d047a3a35073bbd599f495d8c3a5edcd200c4bd1073d5b5821e,0154091366bc155c6e8f4399ee20e439f61c6180df4a4f84860795aa854b205a,9fe1ba1b031a29982e2992062f1ca3cacc124dc22c4ec67efbe9110d37597406
TRD007438,FR0000000126,2024-04-08,2024-04-10,fx,8624.51,1.1243,7671,1.12121,1.1267,1.123955,2078069,42.07,bbb,0,utilities,34.4,0,0,0,0,0,0,0,0,0,264095ed8f0a1cbb6d265d50fd6373de9782ad7d269865e23c8292e32aaf8408,e655d471e4387d17cd12ca7b0bf6ca129a7d73d55cedf41b2fff576c266994cf,cf88a03220dd2984ac16203ccf5c5c4aad677fb755644736113891e8b11ab2cf
TRD006910,FR0000000082,2024-04-29,2024-05-01,fx,15941.95,1.0718,14874,1.070087,1.0743,1.072194,4731636,45.51,ccc,1,consumer discretionary,26.2,0,0,0,0,0,0,1,0,0,8bc3ec8696c9a0f62a8e9fea37800e5b06408533a5ecc6b8e53dd5604f87adf3,9dd731a3ff75f242aa3346bd03e7b3e4495692e3d9fa5368a3b185e46b270db6,4bc873969484f8c465ab82553baaa5b97bdf91bfa8e496a89b4b1ee719318e2b
TRD004136,FR0000000113,2024-04-15,2024-04-17,fx,10038.9,1.2136,8272,1.212839,1.2179,1.21537,1052891,45.54,bb,0,energy,15.9,0,0,0,0,0,0,0,0,0,5c6826966ba47749e387d9639e944a50b302ab8a6c6156c20782304f98faa6e6,a2c8893aa5898d51858235187503e24f8d023251d39ead330cd7d63c450094db,3ab22f091c6f39b0a8cc85d808681b44a3e4bc052bea64e29443248038c3c5a2
TRD002837,FR0000000004,2024-01-08,2024-01-10,fx,50743.68,1.14,44512,1.138952,1.143,1.140976,4111720,45.51,d,0,technology,14.0,0,0,0,0,0,0,1,0,0,9f35de8e44ea372b5e7515c5c3bcb7f9669bb862406294cc1fb85261285fc3ed,2c583c5e437aeb30a4b7e240da5fc09375afe5f1a64c13142f970b7ffe12b06a,77efb69b8aefc1fa218c505b9447765990db987b81c30f70c4a518ec2c70c4a0
TRD007765,FR0000000128,2024-05-14,2024-05-16,fx,34821.41,0.9234,37710,0.921154,0.9237,0.922427,4661358,75.82,aa,0,technology,42.0,0,0,0,0,0,0,0,0,0,312b3c69d2e4a2539e63cf202232c4f1c2875efe66b1aa64568173b916916d4e,0154091366bc155c6e8f4399ee20e439f61c6180df4a4f84860795aa854b205a,cbda24d82bffdc989109b238b9dc824596cba5fa8b21fdc0b2c899c38b896aee
TRD002177,FR0000000112,2024-04-11,2024-04-15,fx,37211.62,1.404,26504,1.399054,1.4056,1.402327,2801375,55.64,a,0,industrials,11.6,0,0,0,0,0,0,0,0,0,f82dee6071f4464bbeb32cb5cf0d902e1bb247de1f2dbdb43d08d1184b00bc94,38daa8d89fe1d9f21079970e6ae7dac825d1fa942ff926a8a71875dfc3adf1ce,687e1de6f4f5a091cac44dd1c83d611e6107cb716643e3eefaf90d31b765c1ac
TRD005881,FR0000000048,2024-01-05,2024-01-08,equity,1802700.22,122.8667,14672,122.83,123.0346,122.9323,2712353,59.32,bb,0,healthcare,42.9,0,0,0,0,0,0,0,0,0,271d62662f4dc519d03c6a590e5833e7a4d5a9d78d6c2284ced8ad0ee172e661,3ef31f0a77b333bbf0ff9d2fc40d8c698a6f934b6336f9c67147093f5ad11377,321ceeae9fb5cec6af828b7dac6f1001ed8910031e1e4dd4235432cc6815290c
TRD002928,FR0000000016,2024-06-24,2024-06-26,derivative,246326.97,14.9561,16470,14.9478,14.9611,14.95445,143320,38.57,bb,0,financials,41.7,0,0,0,0,0,0,0,0,0,cea9e6f2335c6997497557b68030c92dd02185be4ea229136aaac93d9f875dc2,761210ee2e9f1afa3b5bfa392cbb5ff5b316c5af8c5da7109fa281cf5782b966,333fc0a5a5762840832635cf1e55f2ce92ab1eb7f5826361472b3238b4d9fb13
TRD005153,FR0000000065,2024-03-28,2024-04-01,bond,3209961.33,101.8518,31516,101.7402,101.9592,101.8497,2245585,55.29,d,1,utilities,35.4,0,0,0,0,0,0,0,0,0,9fd40a8a7e0d00a05dc85af8cf6224e5456d399ed37c09efbaaa3298366ebb8c,72906a7176a3a0dc0a78c45f015b2eafe3e556725cecd30ce641954f182b24b4,d9b02546d07ca78c94217a6337cb3759de30b87e5cf4fa96be4a9a20fc49c0ee
TRD004408,FR0000000107,2024-04-25,2024-04-29,derivative,144489.6,17.1318,8434,17.1206,17.1343,17.12745,2190689,68.44,nr,0,technology,70.7,0,0,0,1,0,0,0,0,0,eba48b362aec6f28e77dbdbcca0853d05ab088cb49e37b08fbcb260705efacff,2f234f032c18ad31a8e69a13526f20fed513bdcd1e868e59e4c686042f6a56d3,ad68dc86721e93fb3a7afc896c88ab8091499a3cbcff6b6b4baa96c14f0b9177
TRD002152,FR0000000128,2024-06-25,2024-06-27,derivative,1165703.72,46.4961,25071,46.4296,46.5368,46.4832,1234825,71.85,bbb,0,energy,23.5,0,0,0,0,0,0,0,0,0,67f724dfa4e67952799e9bf288a7e323263b68a67d7dcbaa1aa97a9c6dfbb82c,e45f0c8575eb36a66c5b1b73f67205969b928b7f0eb3240aef25ff90ee6b7c04,02224dee630e1df74793ca858299741da2ef3803e6785a7360e9e749ed40e3c0
TRD006116,FR0000000128,2024-02-19,2024-02-21,derivative,492945.28,15.8779,31046,15.87,15.892,15.881,2687658,43.57,bbb,0,technology,46.9,0,0,0,0,0,0,0,0,0,58cca389665c8934d87bde10b2096873c280ec04632aefecb6a55d22d58cc364,1230320bbe62ab58619b31bcf6b4ad7a796c864c205edddff98c6ed298b3bec4,319cba46fd970389b38b3376296ab68a6d48491c0df43967dce982554f7dd5c5
